Brand,Model,image
Apple,Watch Series 7,https://via.placeholder.com/200
Samsung,Galaxy Watch 4,https://via.placeholder.com/200
Garmin,Venu 2,https://via.placeholder.com/200
Fitbit,Versa 3,https://via.placeholder.com/200
Fossil,Gen 6,https://via.placeholder.com/200
Huawei,Watch 3 Pro,https://via.placeholder.com/200
TicWatch,E3,https://via.placeholder.com/200
Oppo,Watch 2,https://via.placeholder.com/200
Amazfit,GTR 3,https://via.placeholder.com/200
Skagen,Jorn Hybrid HR,https://via.placeholder.com/200
Withings,ScanWatch,https://via.placeholder.com/200
Timex,Metropolitan R,https://via.placeholder.com/200
Suunto,7,https://via.placeholder.com/200
Mobvoi,TicWatch Pro 3 GPS,https://via.placeholder.com/200
Polar,Ignite 2,https://via.placeholder.com/200
Fitbit,Sense,https://via.placeholder.com/200
Garmin,Forerunner 945 LTE,https://via.placeholder.com/200
Apple,Watch SE,https://via.placeholder.com/200
Samsung,Galaxy Watch 3,https://via.placeholder.com/200
Garmin,Venu Sq Music,https://via.placeholder.com/200
Fitbit,Sense,https://via.placeholder.com/200
Fossil,Collider,https://via.placeholder.com/200
Huawei,Watch GT 2 Pro,https://via.placeholder.com/200
Amazfit,GTR 2,https://via.placeholder.com/200
TicWatch,Pro 3 GPS,https://via.placeholder.com/200
Skagen,Falster 3,https://via.placeholder.com/200
Mobvoi,TicWatch E3,https://via.placeholder.com/200
Garmin,Lily,https://via.placeholder.com/200
Apple,Watch SE,https://via.placeholder.com/200
Samsung,Galaxy Watch 3,https://via.placeholder.com/200
Garmin,Forerunner 945,https://via.placeholder.com/200
Fitbit,Sense,https://via.placeholder.com/200
Fossil,Sport,https://via.placeholder.com/200
Huawei,Watch GT2 Pro,https://via.placeholder.com/200
Amazfit,GTR 2e,https://via.placeholder.com/200
Ticwatch,Pro 4G/LTE,https://via.placeholder.com/200
Polar,Vantage V2,https://via.placeholder.com/200
Xiaomi,Mi Watch,https://via.placeholder.com/200
Suunto,9 Peak,https://via.placeholder.com/200
Apple,Watch SE,https://via.placeholder.com/200
Samsung,Galaxy Watch Active 2,https://via.placeholder.com/200
Garmin,Forerunner 945,https://via.placeholder.com/200
Fitbit,Sense,https://via.placeholder.com/200
Fossil,Sport,https://via.placeholder.com/200
